478,296,535,290
478,297,535,290
478,296,535,290
478,297,535,290
478,296,535,290
477,296,535,290
479,297,535,290
478,296,535,290
479,296,535,290
480,301,533,284
483,310,528,276
489,316,522,271
498,321,515,268
505,322,507,269
514,321,500,269
522,317,493,273
528,311,488,278
533,303,484,284
534,295,482,292
533,287,481,299
533,286,482,299
531,286,482,300
525,286,478,301
519,288,469,304
511,291,461,305
503,293,453,307
496,293,446,309
490,295,442,310
485,296,436,312
479,297,429,314
472,299,422,316
464,302,413,319
459,303,408,320
454,302,406,322
448,304,401,324
441,306,393,326
436,308,388,329
429,310,381,331
422,312,375,333
417,312,369,335
410,315,362,337
403,318,355,340
397,320,349,342
390,322,343,345
385,324,336,347
379,327,330,350
373,324,327,355
369,316,333,360
361,311,340,364
353,309,349,363
343,310,356,365
338,316,363,365
338,316,364,367
340,320,364,369
341,321,365,371
340,321,365,371
348,318,360,372
356,317,353,372
363,318,343,371
371,322,336,367
376,328,331,360
381,336,327,353
382,345,326,344
380,353,328,335
375,361,331,329
369,366,337,323
363,369,341,319
364,369,341,320
363,366,341,320
361,362,340,317
358,354,336,308
355,347,331,300
354,341,327,293
358,340,324,297
365,332,318,303
369,324,315,309
370,315,315,317
368,307,315,324
367,305,315,327
364,305,315,327
358,308,308,330
352,311,300,333
343,314,293,335
337,316,287,338
332,317,282,340
325,319,276,342
319,321,269,344
313,323,262,346
307,324,256,349
301,327,250,351
294,330,243,353
288,332,236,356
281,334,229,358
274,337,222,360
267,339,216,363
261,341,210,365
255,344,203,367
254,352,198,362
255,360,197,354
251,369,200,345
247,375,203,339
247,373,204,340
244,370,201,338
238,365,194,333
234,361,190,330
229,356,184,325
222,350,178,320
218,347,173,316
212,341,167,311
208,337,162,307
206,332,156,305
205,332,155,303
204,333,155,304
206,333,156,305
204,330,154,305
198,326,147,301
192,323,141,297
189,322,138,296
191,319,138,298
197,312,138,306
193,304,136,312
190,294,139,318
185,287,143,325
179,281,149,329
174,279,152,331
174,279,152,331
175,280,151,330
183,284,144,326
188,292,138,320
188,301,134,312
185,310,130,303
183,318,134,294
178,324,140,287
172,329,146,281
165,331,155,280
157,332,163,281
150,333,169,285
143,330,173,291
141,326,177,293
141,327,176,293
146,324,181,288
152,319,185,284
157,314,190,278
162,311,195,273
167,307,201,268
171,301,205,264
177,295,210,258
182,290,215,252
188,286,220,247
193,280,225,241
198,275,229,236
203,270,234,230
207,266,238,224
209,263,241,221
205,261,245,226
199,256,246,234
195,251,244,240
195,243,248,247
201,239,250,254
203,238,252,257
206,239,255,258
211,242,260,259
216,244,264,261
223,247,271,264
229,248,277,266
234,254,284,268
242,253,290,271
248,257,297,273
255,258,303,275
261,260,309,278
267,263,315,280
273,265,322,283
281,267,329,285
288,269,335,288
294,271,341,291
300,274,348,293
306,276,354,296
312,279,360,299
319,281,366,302
324,284,372,304
331,286,377,307
336,289,383,310
344,287,385,316
348,283,379,324
355,279,370,328
362,277,362,328
368,278,355,328
362,277,361,328
355,278,369,327
348,282,378,323
343,287,385,317
340,293,389,309
339,302,389,301
341,308,389,292
341,313,387,287
342,312,387,288
346,309,391,287
351,307,398,284
357,303,403,283
363,299,411,279
369,297,417,276
376,294,423,274
382,291,430,270
388,288,436,268
395,286,442,265
400,283,448,262
407,281,455,260
413,279,460,257
415,273,465,259
415,267,465,268
415,259,464,276
415,257,463,277
418,259,465,278
425,262,473,281
429,265,477,283
435,267,484,285
441,270,489,287
447,273,496,289
452,276,502,291
458,278,507,293
464,279,513,295
469,281,519,297
475,285,525,299
483,287,532,300
488,289,538,302
491,291,542,302
490,290,540,302
